Wave,Panel,Topic,Variable,Question text,Value_code,Value_label,Audience_broad,Audience_specific,Weighting variable
27/02/2024,PPLV,ID,pupilid,pupilid,n/a,n/a,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,ID,matchingID,Matching ID,n/a,n/a,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Metadata,wave,Research wave,n/a,n/a,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Metadata,interview_end_date,Interview end date,n/a,n/a,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Metadata,interview_start_time,Interview start time,n/a,n/a,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Metadata,interview_end_time,Interview end time,n/a,n/a,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Metadata,surv_FW_Launch_Date,Fieldwork start date,n/a,n/a,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Metadata,devicetype,n/a - metadata,1,Desktop,Secondary pupils,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Metadata,devicetype,n/a - metadata,2,Mobile Touch,Secondary pupils,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Metadata,devicetype,n/a - metadata,3,Mobile Generic,Secondary pupils,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Intro,pupilconfirm,"Before we start the survey, please could you confirm that you are (YPFName) (YPLName)?",0,No,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Intro,pupilconfirm,"Before we start the survey, please could you confirm that you are (YPFName) (YPLName)?",1,Yes,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Intro,parentconfirm,Is your parent/carer happy for you to take part?,0,No,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,Intro,parentconfirm,Is your parent/carer happy for you to take part?,1,Yes,Secondary pupils; 16-19 pupils and learners,All,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_bachelors,How likely are you to consider doing the following after you finish at school/college? Bachelor’s/Undergraduate degree,-1,Don't know,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
